거래일,품목 및 품명,등급,평균가,전일평균,등락,거래단위,최저가,최고가,전일대비(%),전7일평균,전7일대비(%),시장구분,구분
20210626,당근,특,20804,0,20804,20 kg상자,20000,22000,0,22334,20804,가락시장,co
20210626,당근,상,18766,0,18766,20 kg상자,17000,20000,0,20183,18766,가락시장,co
20210626,당근,보통,14520,0,14520,20 kg상자,12000,17000,0,16461,14520,가락시장,co
20210626,당근,하,10067,0,10067,20 kg상자,5000,12000,0,12419,10067,가락시장,co
20210601,포도 샤인머스켓,특,75000,0,75000,2 kg상자,75000,75000,0,75000,75000,가락시장,co
20210601,포도 샤인머스켓,상,71471,0,71471,2 kg상자,60000,75000,0,73824,71471,가락시장,co
20210601,포도 샤인머스켓,보통,50000,0,50000,2 kg상자,35000,60000,0,66667,50000,가락시장,co
20210601,포도 샤인머스켓,하,35000,0,35000,2 kg상자,35000,35000,0,61667,35000,가락시장,co
20210614,포도 샤인머스켓,특,65000,0,65000,2 kg상자,65000,65000,0,68241,65000,가락시장,co
20210614,포도 샤인머스켓,상,54873,0,54873,2 kg상자,50000,65000,0,64422,54873,가락시장,co
20210614,포도 샤인머스켓,보통,43639,0,43639,2 kg상자,37000,50000,0,56659,43639,가락시장,co
20210614,포도 샤인머스켓,하,34397,0,34397,2 kg상자,32000,37000,0,43158,34397,가락시장,co
20210525,깻잎,상,18104,0,18104,100 속,16500,24500,0,18589,18104,가락시장,co
20210525,깻잎,보통,14987,0,14987,100 속,13500,16500,0,14143,14987,가락시장,co
20210525,깻잎,하,10463,0,10463,100 속,2500,13500,0,10624,10463,가락시장,co
20210526,깻잎,상,17384,0,17384,100 속,16000,21500,0,18778,17384,가락시장,co
20210526,깻잎,보통,14522,0,14522,100 속,13500,16000,0,14457,14522,가락시장,co
20210526,깻잎,하,11116,0,11116,100 속,3000,13500,0,10629,11116,가락시장,co
20210608,깻잎,상,17290,0,17290,100 속,14500,27000,0,22123,17290,가락시장,co
